review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000015,ORD-20251103-178696,CUST-10027,REST-SHJ-001,Exceptional quality! Ordered Garlic Naan and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2025-11-09T18:38:31.503154
REV-000016,ORD-20251106-786925,CUST-10028,REST-SHJ-001,Disaster! Tandoori Roti and Aloo Tikki Chaat were all stale. Tandoori Roti had a weird smell. Completely unacceptable!,1,2025-11-10T13:53:30.503154
REV-000020,ORD-20251113-188458,CUST-10197,REST-DXB-001,Decent food but nothing special. Lamb Rogan Josh and Chole Bhature were okay. Lamb Rogan Josh lacked the punch I expected.,3,2025-11-15T15:54:51.503154
REV-000018,ORD-20251112-120354,CUST-10370,REST-AUH-002,Best Indian food in UAE! Butter Naan were incredible. Butter Naan had the perfect balance of spices. Five stars!,5,2025-11-16T20:15:14.503154
REV-000019,ORD-20251112-916118,CUST-10071,REST-DXB-002,Great food overall. Aloo Tikki Chaat  Fish Curry  Butter Chicken  Garlic Naan  and Gajar Halwa were tasty  especially the Fish Curry. Would order again!,4,2025-11-16T22:09:25.503154
REV-000017,ORD-20251111-120295,CUST-10366,REST-DXB-001,Incredible meal! Paneer Butter Masala  Dal Makhani  Masala Chai  Jeera Rice  and Butter Naan arrived hot and fresh. The Paneer Butter Masala was absolutely divine. Highly satisfied!,5,2025-11-18T10:18:45.503154
REV-000021,ORD-20251113-104690,CUST-10041,REST-SHJ-001,Not bad  not great. Mango Lassi  Chicken 65  and Sweet Lassi were edible. Sweet Lassi needed more seasoning.,3,2025-11-20T20:12:29.503154
REV-000022,ORD-20251121-548500,CUST-10149,REST-SHJ-001,Absolutely amazing Chicken Tikka Masala and Naan! The Chicken Tikka Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-23T15:04:00.503154
REV-000026,ORD-20251124-334792,CUST-10185,REST-DXB-002,Absolutely amazing Paneer Butter Masala  Chicken Tikka Masala  Chicken Seekh Kebab  Kulfi  and Gajar Halwa! The Chicken Tikka Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-25T19:28:44.503154
REV-000024,ORD-20251123-183253,CUST-10397,REST-SHJ-001,Good quality food. Sweet Lassi  Masala Chai  and Vegetable Biryani were nicely done. Masala Chai could have been slightly spicier but still good!,4,2025-11-25T20:23:52.503154
REV-000027,ORD-20251125-551947,CUST-10409,REST-SHJ-001,Hands down the best Tandoori Roti I've ever had! Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2025-11-26T14:46:04.503154
REV-000025,ORD-20251124-811896,CUST-10329,REST-AUH-002,Poor experience. Dal Makhani were disappointing. Dal Makhani was burnt on the edges. Very unhappy.,2,2025-11-28T10:42:41.503154
REV-000023,ORD-20251123-372665,CUST-10154,REST-DXB-002,Incredible meal! Sweet Lassi arrived hot and fresh. The Sweet Lassi was absolutely divine. Highly satisfied!,5,2025-11-29T12:39:48.503154
REV-000028,ORD-20251130-118399,CUST-10414,REST-AUH-002,Good quality food. Chicken Tikka Masala and Palak Paneer were nicely done. Palak Paneer could have been slightly spicier but still good!,4,2025-12-02T13:10:03.503154
REV-000029,ORD-20251201-810916,CUST-10117,REST-DXB-001,Unsatisfactory. Malai Kofta and Vegetable Biryani were not fresh. Vegetable Biryani tasted reheated. Won't order again.,2,2025-12-08T17:17:40.503154
REV-000030,ORD-20251203-332835,CUST-10425,REST-DXB-001,Decent food but nothing special. Lamb Rogan Josh  Chicken Seekh Kebab  Jeera Rice  Paneer Butter Masala  and Palak Paneer were okay. Paneer Butter Masala lacked the punch I expected.,3,2025-12-09T12:27:40.503154
REV-000032,ORD-20251208-777382,CUST-10400,REST-SHJ-001,Hands down the best Masala Chai I've ever had! Fish Curry  Lamb Rogan Josh  and Masala Chai were all prepared beautifully. Fresh and flavorful!,5,2025-12-10T21:04:54.503154
REV-000031,ORD-20251207-284175,CUST-10483,REST-DXB-002,Pleasant meal! Samosa (2 pcs)  Chicken Biryani  Masala Chai  Fresh Lime Soda  and Sweet Lassi arrived warm. Fresh Lime Soda was tasty though not exceptional. Would order again.,4,2025-12-13T20:18:09.503154
REV-000034,ORD-20251219-653219,CUST-10238,REST-SHJ-001,Best Indian food in UAE! Masala Chai  Butter Naan  Jeera Rice  and Chicken Tikka Masala were incredible. Chicken Tikka Masala had the perfect balance of spices. Five stars!,5,2025-12-22T15:39:36.503154
REV-000033,ORD-20251218-215948,CUST-10362,REST-AUH-001,Exceptional quality! Ordered Fish Curry and everything was delicious. The Fish Curry melted in my mouth. Perfect!,5,2025-12-22T20:25:14.503154
REV-000035,ORD-20251221-600215,CUST-10396,REST-AUH-002,Mediocre. Garlic Naan  Butter Chicken  Chicken Tikka Masala  Kulfi  and Vegetable Biryani were fine but forgettable. Butter Chicken didn't stand out.,3,2025-12-27T13:33:00.503154
REV-000036,ORD-20251224-695854,CUST-10202,REST-DXB-001,Poor experience. Gulab Jamun (2 pcs) were disappointing. Gulab Jamun (2 pcs) was burnt on the edges. Very unhappy.,2,2025-12-28T19:18:27.503154
REV-000037,ORD-20260104-595333,CUST-10174,REST-DXB-002,Good quality food. Fresh Lime Soda were nicely done. Fresh Lime Soda could have been slightly spicier but still good!,4,2026-01-08T18:49:20.503154
REV-000038,ORD-20260108-456825,CUST-10403,REST-AUH-002,Exceptional quality! Ordered Gulab Jamun (2 pcs)  Paneer Butter Masala  and Rasmalai (2 pcs) and everything was delicious. The Paneer Butter Masala melted in my mouth. Perfect!,5,2026-01-12T20:21:58.503154
REV-000039,ORD-20260113-869890,CUST-10340,REST-SHJ-001,Absolutely amazing Dal Makhani and Sweet Lassi! The Dal Makhani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-15T10:24:19.503154
REV-000041,ORD-20260114-465257,CUST-10135,REST-SHJ-001,Best Indian food in UAE! Vegetable Biryani and Chicken Tikka Masala were incredible. Chicken Tikka Masala had the perfect balance of spices. Five stars!,5,2026-01-15T14:20:12.503154
REV-000040,ORD-20260114-855872,CUST-10425,REST-AUH-001,Perfect in every way! Vegetable Biryani  Palak Paneer  and Gajar Halwa were all excellent. Gajar Halwa stood out with its rich  authentic taste.,5,2026-01-20T12:19:00.503154
REV-000042,ORD-20260116-978415,CUST-10316,REST-SHJ-001,Best Indian food in UAE! Aloo Tikki Chaat  Palak Paneer  and Chicken Tikka Masala were incredible. Aloo Tikki Chaat had the perfect balance of spices. Five stars!,5,2026-01-22T18:57:53.503154
REV-000043,ORD-20260122-801334,CUST-10364,REST-SHJ-001,Very satisfied! Aloo Tikki Chaat were fresh and flavorful. Aloo Tikki Chaat was the standout dish.,4,2026-01-27T19:47:09.503154
REV-000044,ORD-20260128-931715,CUST-10055,REST-DXB-002,Incredible meal! Rasmalai (2 pcs)  Aloo Tikki Chaat  and Tandoori Roti arrived hot and fresh. The Rasmalai (2 pcs) was absolutely divine. Highly satisfied!,5,2026-01-30T15:28:14.503154
REV-000045,ORD-20260130-408504,CUST-10321,REST-DXB-001,Absolutely amazing Naan  Gulab Jamun (2 pcs)  and Fish Curry! The Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-05T12:25:30.503154
REV-000046,ORD-20260203-300475,CUST-10117,REST-DXB-001,Perfect in every way! Mango Lassi were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2026-02-08T18:37:43.503154
REV-000047,ORD-20260205-299133,CUST-10138,REST-AUH-002,Good quality food. Masala Chai were nicely done. Masala Chai could have been slightly spicier but still good!,4,2026-02-12T16:17:10.503154
REV-000048,ORD-20260214-179893,CUST-10364,REST-SHJ-001,Mixed feelings. Chicken 65  Lamb Rogan Josh  Dal Makhani  and Paneer Butter Masala were acceptable. Chicken 65 was decent but portion was small for the price.,3,2026-02-18T14:19:25.503154
REV-000049,ORD-20260216-233008,CUST-10378,REST-AUH-001,Great food overall. Butter Chicken  Gajar Halwa  Paneer Tikka  and Chicken Tikka Masala were tasty  especially the Chicken Tikka Masala. Would order again!,4,2026-02-20T15:11:43.503154
REV-000050,ORD-20260220-518635,CUST-10451,REST-DXB-001,Disappointed with Masala Chai  Rasmalai (2 pcs)  Kulfi  and Tandoori Roti. Rasmalai (2 pcs) was cold when it arrived. Not worth the money.,2,2026-02-23T12:02:16.503154
REV-000051,ORD-20260222-745866,CUST-10147,REST-SHJ-001,Appalling quality! Naan  Paneer Butter Masala  Chicken Biryani  Paneer Tikka  and Malai Kofta were swimming in oil. Paneer Tikka was raw inside. Health hazard!,1,2026-02-23T22:25:30.503154
REV-000052,ORD-20260223-458474,CUST-10460,REST-AUH-001,Outstanding experience! The Paneer Butter Masala  Sweet Lassi  Palak Paneer  Butter Naan  and Samosa (2 pcs) exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2026-02-26T15:46:40.503154
REV-000053,ORD-20260226-448503,CUST-10309,REST-DXB-002,Incredible meal! Chicken Seekh Kebab  Kulfi  Chicken Tikka Masala  Vegetable Biryani  and Fish Curry arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!,5,2026-02-27T19:01:02.503154
REV-000055,ORD-20260227-785505,CUST-10331,REST-DXB-001,Outstanding experience! The Malai Kofta exceeded all expectations. Malai Kofta was the star of the meal. Will definitely order again!,5,2026-03-01T14:19:53.503154
REV-000054,ORD-20260227-856876,CUST-10408,REST-AUH-002,Absolutely amazing Tandoori Roti  Fish Curry  Palak Paneer  and Garlic Naan! The Palak Paneer was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-03T10:20:45.503154
REV-000056,ORD-20260301-925326,CUST-10082,REST-AUH-002,Expected better. Tandoori Roti and Samosa (2 pcs) were subpar. Samosa (2 pcs) was too oily and greasy. Stomach upset followed.,2,2026-03-08T17:37:17.503154
REV-000058,ORD-20260305-972262,CUST-10456,REST-DXB-001,It was okay. Samosa (2 pcs)  Gajar Halwa  Malai Kofta  Rasmalai (2 pcs)  and Lamb Rogan Josh arrived lukewarm. Lamb Rogan Josh tasted fine but could be better.,3,2026-03-10T14:15:54.503154
REV-000057,ORD-20260304-874608,CUST-10033,REST-AUH-002,Wow! Just wow! Lamb Rogan Josh and Aloo Tikki Chaat were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2026-03-11T17:41:35.503154
REV-000059,ORD-20260314-609331,CUST-10212,REST-AUH-001,Perfect in every way! Dal Makhani  Gajar Halwa  and Chicken Seekh Kebab were all excellent. Dal Makhani stood out with its rich  authentic taste.,5,2026-03-17T14:32:26.503154
REV-000062,ORD-20260317-735462,CUST-10292,REST-DXB-002,Hands down the best Dal Makhani I've ever had! Dal Makhani and Paneer Tikka were all prepared beautifully. Fresh and flavorful!,5,2026-03-18T12:49:15.503154
REV-000063,ORD-20260318-825301,CUST-10470,REST-AUH-001,Incredible meal! Vegetable Biryani and Lamb Rogan Josh arrived hot and fresh. The Lamb Rogan Josh was absolutely divine. Highly satisfied!,5,2026-03-20T17:18:48.503154
REV-000061,ORD-20260316-290919,CUST-10487,REST-DXB-001,Wow! Just wow! Masala Chai  Butter Naan  Vegetable Biryani  Dal Makhani  and Sweet Lassi were all fantastic. Sweet Lassi was particularly memorable. Can't wait to order again!,5,2026-03-22T17:37:29.503154
REV-000060,ORD-20260316-236207,CUST-10420,REST-DXB-002,Wow! Just wow! Gajar Halwa  Fresh Lime Soda  Lamb Rogan Josh  and Chicken Seekh Kebab were all fantastic. Chicken Seekh Kebab was particularly memorable. Can't wait to order again!,5,2026-03-23T12:38:47.503154
REV-000064,ORD-20260325-160533,CUST-10102,REST-DXB-001,Outstanding experience! The Palak Paneer exceeded all expectations. Palak Paneer was the star of the meal. Will definitely order again!,5,2026-03-30T17:37:12.503154
REV-000065,ORD-20260327-399352,CUST-10018,REST-DXB-002,Exceptional quality! Ordered Fresh Lime Soda  Vegetable Biryani  Chicken Biryani  and Samosa (2 pcs) and everything was delicious. The Fresh Lime Soda melted in my mouth. Perfect!,5,2026-04-01T19:58:26.503154
REV-000066,ORD-20260329-820946,CUST-10217,REST-AUH-002,Incredible meal! Dal Makhani arrived hot and fresh. The Dal Makhani was absolutely divine. Highly satisfied!,5,2026-04-05T20:11:03.503154
